Posted Date,Payee,Address,Amount
10/08/2025,"SQ *STICKERYOU Mississauga ON","Mississauga ",-13.56
10/08/2025,"SEPHORA SQUARE ONE MISSISSAUGA ON","MISSISSAUGA ",-392.68
10/10/2025,"PAYMENT"," ",181.94
10/14/2025,"VOILA.CA MISSISSAUGA ON","MISSISSAUGA ",-64.78
10/14/2025,"TST-Shawerma PLus - Mi Mississauga ON","Mississauga ",-14.63
10/14/2025,"NEW THIARA SUPERMARKET MILTON ON","MILTON ",-72.42
10/14/2025,"PAYMENTUS-MILTONHYDFEE 800-420-1663 ON","800-420-1663 ",-11.06
10/14/2025,"PYMT-MILTON-HYDRO 905-876-4611 ON","905-876-4611 ",-573.07
10/14/2025,"WAL-MART #1000 MILTON ON","MILTON ",-231.08
10/14/2025,"MARY BROWNS CHICKEN & MILTON ON","MILTON ",-30.49
10/15/2025,"ROGERS ******3451 888-764-3771 ON","888-764-3771 ",-211.54
10/15/2025,"PAYMENT"," ",1000.00
10/17/2025,"HUMAN APPEAL FND MISSISSAUGA ON","MISSISSAUGA ",-75.00
10/20/2025,"NEW THIARA SUPERMARKET MILTON ON","MILTON ",-78.72
10/20/2025,"WAL-MART #1000 MILTON ON","MILTON ",-184.37
10/20/2025,"SOBEYS #4719 MILTON ON","MILTON ",-37.93
10/23/2025,"RELIANCE HOME COMFORT TORONTO ON","TORONTO ",-100.31
10/24/2025,"PAYMENT"," ",1500.00
10/27/2025,"LA FITNESS ANNUAL FEE BRAMPTON ON","BRAMPTON ",-55.37
10/27/2025,"LA FITNESS BRAMPTON ON","BRAMPTON ",-39.54
10/27/2025,"SQ *SMASHED PATTY Milton ON","Milton ",-46.10
10/27/2025,"NEW THIARA SUPERMARKET MILTON ON","MILTON ",-91.69
10/27/2025,"WAL-MART #1000 MILTON ON","MILTON ",-233.63
10/28/2025,"SQSP* DOMAIN#206988932 NEW YORK NY","NEW YORK ",-19.21
10/29/2025,"SOBEYS #4719 MILTON ON","MILTON ",-41.94
10/30/2025,"IQBAL FOODS MISSISSAUGA ON","MISSISSAUGA ",-766.68
10/31/2025,"PAYMENT"," ",1885.80
11/03/2025,"COGECO CONNEXION BURLINGTON ON","BURLINGTON ",-79.09
11/03/2025,"NETFLIX.COM Vancover BC","Vancover ",-21.46
11/03/2025,"NEW THIARA SUPERMARKET MILTON ON","MILTON ",-71.59
11/03/2025,"WAL-MART #1000 MILTON ON","MILTON ",-194.27
11/03/2025,"LAARI ADDA MISSISSAUGA ON","MISSISSAUGA ",-122.75
11/04/2025,"SOBEYS #4719 MILTON ON","MILTON ",-41.94
